geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1001,-23.55019,-46.634024,sao paulo,SP
1002,-23.548146,-46.634979,sao paulo,SP
1003,-23.548994,-46.635731,sao paulo,SP
1004,-23.549799,-46.634757,sao paulo,SP
1005,-23.549456,-46.636733,sao paulo,SP
1006,-23.550102,-46.636137,sao paulo,SP
1007,-23.550046,-46.637251,sao paulo,SP
1008,-23.546002,-46.635886,sao paulo,SP
1009,-23.546835,-46.636491,sao paulo,SP
1010,-23.546389,-46.635226,sao paulo,SP
1011,-23.546909,-46.635582,sao paulo,SP
1012,-23.54779,-46.634859,sao paulo,SP
1013,-23.547142,-46.634236,sao paulo,SP
1014,-23.545913,-46.633615,sao paulo,SP
1015,-23.547666,-46.631559,sao paulo,SP
1016,-23.548976,-46.632352,sao paulo,SP
1017,-23.549531,-46.631024,sao paulo,SP
1018,-23.550929,-46.632431,sao paulo,SP
1019,-23.551774,-46.630893,sao paulo,SP
1020,-23.552336,-46.63005,sao paulo,SP
1021,-23.543,-46.632143,sao paulo,SP
1022,-23.544922,-46.631931,sao paulo,SP
1023,-23.542331,-46.631373,sao paulo,SP
1024,-23.541401,-46.629904,sao paulo,SP
1025,-23.540292,-46.630928,sao paulo,SP
1026,-23.539657,-46.631884,sao paulo,SP
1027,-23.538082,-46.630669,sao paulo,SP
1028,-23.535933,-46.633555,sao paulo,SP
1029,-23.541373,-46.633416,sao paulo,SP
1030,-23.539549,-46.633023,sao paulo,SP
1031,-23.541906,-46.635088,sao paulo,SP
1032,-23.540124,-46.635194,sao paulo,SP
1033,-23.539271,-46.635878,sao paulo,SP
1034,-23.542515,-46.637367,sao paulo,SP
1035,-23.541614,-46.641549,sao paulo,SP
1036,-23.541648,-46.641443,sao paulo,SP
1037,-23.545411,-46.638924,sao paulo,SP
1038,-23.543907,-46.639994,sao paulo,SP
1039,-23.541371,-46.639165,sao paulo,SP
1040,-23.541028,-46.638325,sao paulo,SP
1041,-23.543905,-46.640046,sao paulo,SP
1042,-23.544853,-46.64041,sao paulo,SP
1043,-23.545766,-46.641502,sao paulo,SP
1044,-23.545598,-46.641453,sao paulo,SP
1045,-23.542345,-46.642527,sao paulo,SP
1046,-23.54593,-46.643998,sao paulo,SP
1047,-23.546188,-46.641067,sao paulo,SP
1048,-23.547113,-46.63984,sao paulo,SP
1049,-23.547011,-46.639166,sao paulo,SP
1050,-23.549229,-46.64303,sao paulo,SP
1101,-23.528287,-46.631958,sao paulo,SP
1102,-23.525571,-46.630287,sao paulo,SP
1103,-23.535468,-46.630291,sao paulo,SP
1104,-23.534952,-46.62957,sao paulo,SP
1105,-23.534094,-46.629078,sao paulo,SP
1106,-23.530221,-46.628221,sao paulo,SP
1107,-23.526088,-46.62959,sao paulo,SP
1108,-23.527232,-46.630354,sao paulo,SP
1109,-23.524625,-46.627103,sao paulo,SP
1120,-23.530163,-46.639511,sao paulo,SP
1121,-23.527867,-46.635257,sao paulo,SP
1122,-23.531131,-46.638325,sao paulo,SP
1123,-23.529165,-46.636582,sao paulo,SP
1124,-23.528221,-46.633095,sao paulo,SP
1125,-23.527288,-46.640164,sao paulo,SP
